MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3957530,37.7932817,0.1220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,10.3470000,0.0031109,-0.1297745,-0.1225187
MsgID.LOCAL_VELOCITY,10.3470000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957532,37.7932822,0.1030000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,10.5970000,0.0603872,-0.1483078,-0.1033624
MsgID.LOCAL_VELOCITY,10.5970000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957523,37.7932806,0.0920000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,10.8470000,-0.1175147,-0.0638783,-0.0921966
MsgID.LOCAL_VELOCITY,10.8470000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957516,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957500,37.7932808,0.0850000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.0970000,-0.0953829,0.1429165,-0.0852807
MsgID.LOCAL_VELOCITY,11.0970000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957511,37.7932817,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.3470000,-0.0014811,0.0395294,-0.0829817
MsgID.LOCAL_VELOCITY,11.3470000,0.0000000,0.0000000,-0.0000000
MsgID.LOCAL_POSITION,11.5970000,-0.0003298,0.0096547,-0.0825047
MsgID.LOCAL_VELOCITY,11.5970000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932817,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.8470000,0.0762972,0.0096547,-0.0825000
MsgID.LOCAL_VELOCITY,11.8470000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932824,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957516,37.7932817,0.0000000
MsgID.LOCAL_POSITION,12.0970000,0.1312064,0.0106067,-0.0825000
MsgID.LOCAL_VELOCITY,12.0970000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932829,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957503,37.7932815,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,12.3470000,-0.0161494,0.1169740,-0.0825000
MsgID.LOCAL_VELOCITY,12.3470000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957504,37.7932816,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,12.5980000,-0.0116609,0.1054567,-0.0825004
MsgID.LOCAL_VELOCITY,12.5980000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957519,37.7932814,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,12.8480000,-0.0320077,-0.0278155,-0.0827136
MsgID.LOCAL_VELOCITY,12.8480000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957516,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932803,0.0840000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,13.0980000,-0.1506477,0.0071712,-0.0842478
MsgID.LOCAL_VELOCITY,13.0980000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932814,0.0890000
MsgID.LOCAL_VELOCITY
